"Latitud","Longitud","Rain","Station","Day","Month","year","cum_rain"
16.72444,-92.63694,0.2,"scdlc",5,6,2019,0.2
16.72444,-92.63694,0,"scdlc",6,6,2019,0
16.72444,-92.63694,0,"scdlc",7,6,2019,0
16.72444,-92.63694,0.2,"scdlc",8,6,2019,0.2
16.72444,-92.63694,0.2,"scdlc",9,6,2019,0.2
16.72444,-92.63694,0,"scdlc",10,6,2019,0
16.72444,-92.63694,0,"scdlc",11,6,2019,0
16.72444,-92.63694,0,"scdlc",12,6,2019,0
16.72444,-92.63694,0,"scdlc",13,6,2019,0
16.72444,-92.63694,0,"scdlc",14,6,2019,0
16.72444,-92.63694,0.2,"scdlc",15,6,2019,0.2
16.72444,-92.63694,0.2,"scdlc",16,6,2019,0.2
16.72444,-92.63694,0,"scdlc",17,6,2019,0
16.72444,-92.63694,0,"scdlc",18,6,2019,0
16.72444,-92.63694,0,"scdlc",19,6,2019,0
16.72444,-92.63694,0,"scdlc",20,6,2019,0
16.72444,-92.63694,0,"scdlc",21,6,2019,0
16.72444,-92.63694,0,"scdlc",22,6,2019,0
16.72444,-92.63694,0.2,"scdlc",23,6,2019,0.2
16.72444,-92.63694,0.2,"scdlc",24,6,2019,0.2
16.72444,-92.63694,0,"scdlc",25,6,2019,0
16.72444,-92.63694,0,"scdlc",26,6,2019,0
16.72444,-92.63694,0,"scdlc",27,6,2019,0
16.72444,-92.63694,0,"scdlc",28,6,2019,0
16.72444,-92.63694,0,"scdlc",29,6,2019,0
16.72444,-92.63694,0,"scdlc",30,6,2019,0
16.72444,-92.63694,0,"scdlc",1,9,2019,0
16.72444,-92.63694,0,"scdlc",2,9,2019,0
16.72444,-92.63694,0,"scdlc",3,9,2019,0
16.72444,-92.63694,0,"scdlc",4,9,2019,0
16.72444,-92.63694,0,"scdlc",5,9,2019,0
16.72444,-92.63694,0,"scdlc",6,9,2019,0
16.72444,-92.63694,0,"scdlc",7,9,2019,0
16.72444,-92.63694,0,"scdlc",8,9,2019,0
16.72444,-92.63694,0,"scdlc",9,9,2019,0
16.72444,-92.63694,0,"scdlc",10,9,2019,0
16.72444,-92.63694,0,"scdlc",11,9,2019,0
16.72444,-92.63694,0,"scdlc",12,9,2019,0
16.72444,-92.63694,0,"scdlc",13,9,2019,0
16.72444,-92.63694,0,"scdlc",14,9,2019,0
16.72444,-92.63694,0,"scdlc",15,9,2019,0
16.72444,-92.63694,0,"scdlc",16,9,2019,0
16.72444,-92.63694,0,"scdlc",17,9,2019,0
16.72444,-92.63694,0,"scdlc",18,9,2019,0
16.72444,-92.63694,0,"scdlc",19,9,2019,0
16.72444,-92.63694,0,"scdlc",20,9,2019,0
16.72444,-92.63694,0,"scdlc",21,9,2019,0
16.72444,-92.63694,0,"scdlc",22,9,2019,0
16.72444,-92.63694,0,"scdlc",23,9,2019,0
16.72444,-92.63694,0,"scdlc",24,9,2019,0
16.72444,-92.63694,0,"scdlc",25,9,2019,0
16.72444,-92.63694,0,"scdlc",26,9,2019,0
16.72444,-92.63694,0,"scdlc",27,9,2019,0
16.72444,-92.63694,0,"scdlc",28,9,2019,0
16.72444,-92.63694,0,"scdlc",29,9,2019,0
16.72444,-92.63694,0,"scdlc",30,9,2019,0
16.23194,-93.90444,0,"scdlc",1,7,2019,0
16.23194,-93.90444,0,"scdlc",2,7,2019,0
16.23194,-93.90444,0,"scdlc",3,7,2019,0
16.23194,-93.90444,0,"scdlc",4,7,2019,0
16.23194,-93.90444,0,"scdlc",5,7,2019,0
16.23194,-93.90444,0,"scdlc",6,7,2019,0
16.23194,-93.90444,0,"scdlc",7,7,2019,0
16.23194,-93.90444,0,"scdlc",8,7,2019,0
16.23194,-93.90444,0,"scdlc",9,7,2019,0
16.23194,-93.90444,0,"scdlc",10,7,2019,0
16.23194,-93.90444,0,"scdlc",11,7,2019,0
16.23194,-93.90444,0,"scdlc",12,7,2019,0
16.23194,-93.90444,0,"scdlc",13,7,2019,0
16.23194,-93.90444,0,"scdlc",14,7,2019,0
16.23194,-93.90444,0,"scdlc",15,7,2019,0
16.23194,-93.90444,0,"scdlc",16,7,2019,0
16.23194,-93.90444,0,"scdlc",17,7,2019,0
16.23194,-93.90444,0,"scdlc",18,7,2019,0
16.23194,-93.90444,0,"scdlc",19,7,2019,0
16.23194,-93.90444,0,"scdlc",20,7,2019,0
16.23194,-93.90444,0,"scdlc",21,7,2019,0
16.23194,-93.90444,0,"scdlc",22,7,2019,0
16.23194,-93.90444,0,"scdlc",23,7,2019,0
16.23194,-93.90444,0,"scdlc",24,7,2019,0
16.23194,-93.90444,0,"scdlc",25,7,2019,0
16.23194,-93.90444,0,"scdlc",26,7,2019,0
16.23194,-93.90444,0,"scdlc",27,7,2019,0
16.23194,-93.90444,0,"scdlc",28,7,2019,0
16.23194,-93.90444,0,"scdlc",29,7,2019,0
16.23194,-93.90444,0,"scdlc",30,7,2019,0
16.23194,-93.90444,0,"scdlc",31,7,2019,0
16.72444,-92.63694,0,"scdlc",1,8,2019,0
16.72444,-92.63694,0,"scdlc",2,8,2019,0
16.72444,-92.63694,0,"scdlc",3,8,2019,0
16.72444,-92.63694,0,"scdlc",4,8,2019,0
16.72444,-92.63694,0,"scdlc",5,8,2019,0
16.72444,-92.63694,0,"scdlc",6,8,2019,0
16.72444,-92.63694,0,"scdlc",7,8,2019,0
16.72444,-92.63694,0,"scdlc",8,8,2019,0
16.72444,-92.63694,0,"scdlc",9,8,2019,0
16.72444,-92.63694,0,"scdlc",10,8,2019,0
16.72444,-92.63694,0,"scdlc",11,8,2019,0
16.72444,-92.63694,0,"scdlc",12,8,2019,0
16.72444,-92.63694,0,"scdlc",13,8,2019,0
16.72444,-92.63694,0,"scdlc",14,8,2019,0
16.72444,-92.63694,0,"scdlc",15,8,2019,0
16.72444,-92.63694,0,"scdlc",16,8,2019,0
16.72444,-92.63694,0,"scdlc",17,8,2019,0
16.72444,-92.63694,0,"scdlc",18,8,2019,0
16.72444,-92.63694,0,"scdlc",19,8,2019,0
16.72444,-92.63694,0,"scdlc",20,8,2019,0
16.72444,-92.63694,0,"scdlc",21,8,2019,0
16.72444,-92.63694,0,"scdlc",22,8,2019,0
16.72444,-92.63694,0,"scdlc",23,8,2019,0
16.72444,-92.63694,0,"scdlc",24,8,2019,0
16.72444,-92.63694,0,"scdlc",25,8,2019,0
16.72444,-92.63694,0,"scdlc",26,8,2019,0
16.72444,-92.63694,0,"scdlc",27,8,2019,0
16.72444,-92.63694,0,"scdlc",28,8,2019,0
16.72444,-92.63694,0,"scdlc",29,8,2019,0
16.72444,-92.63694,0,"scdlc",30,8,2019,0
16.72444,-92.63694,0,"scdlc",31,8,2019,0
16.72444,-92.63694,0,"scdlc",1,10,2019,0
16.72444,-92.63694,0,"scdlc",2,10,2019,0
16.72444,-92.63694,0,"scdlc",3,10,2019,0
16.72444,-92.63694,0,"scdlc",4,10,2019,0
16.72444,-92.63694,0,"scdlc",5,10,2019,0
16.72444,-92.63694,0,"scdlc",6,10,2019,0
16.72444,-92.63694,0,"scdlc",7,10,2019,0
16.72444,-92.63694,0,"scdlc",8,10,2019,0
16.72444,-92.63694,0,"scdlc",9,10,2019,0
16.72444,-92.63694,0,"scdlc",10,10,2019,0
16.72444,-92.63694,0,"scdlc",11,10,2019,0
16.72444,-92.63694,0,"scdlc",12,10,2019,0
16.72444,-92.63694,0,"scdlc",13,10,2019,0
16.72444,-92.63694,0,"scdlc",14,10,2019,0
16.72444,-92.63694,0,"scdlc",15,10,2019,0
16.72444,-92.63694,0,"scdlc",16,10,2019,0
16.72444,-92.63694,0,"scdlc",17,10,2019,0
16.72444,-92.63694,0,"scdlc",18,10,2019,0
16.72444,-92.63694,0,"scdlc",19,10,2019,0
16.72444,-92.63694,0,"scdlc",20,10,2019,0
16.72444,-92.63694,0,"scdlc",21,10,2019,0
16.72444,-92.63694,0,"scdlc",22,10,2019,0
16.72444,-92.63694,0,"scdlc",23,10,2019,0
16.72444,-92.63694,0,"scdlc",24,10,2019,0
16.72444,-92.63694,0,"scdlc",25,10,2019,0
16.72444,-92.63694,0,"scdlc",26,10,2019,0
16.72444,-92.63694,0,"scdlc",27,10,2019,0
16.72444,-92.63694,0,"scdlc",28,10,2019,0
16.72444,-92.63694,0,"scdlc",29,10,2019,0
16.72444,-92.63694,0,"scdlc",30,10,2019,0
16.72444,-92.63694,0,"scdlc",31,10,2019,0
14.88694,-92.29638,26.4,"Tapachula",1,6,2019,26.4
14.88694,-92.29638,23.2,"Tapachula",2,6,2019,487.6
14.88694,-92.29638,23.2,"Tapachula",3,6,2019,23.2
14.88694,-92.29638,3.4,"Tapachula",4,6,2019,3.4
14.88694,-92.29638,3.6,"Tapachula",5,6,2019,23.2
14.88694,-92.29638,1.8,"Tapachula",6,6,2019,1.8
14.88694,-92.29638,2.4,"Tapachula",7,6,2019,19.6
14.88694,-92.29638,23.4,"Tapachula",8,6,2019,391
14.88694,-92.29638,23.4,"Tapachula",9,6,2019,335.4
14.88694,-92.29638,21.8,"Tapachula",10,6,2019,207
14.88694,-92.29638,4.2,"Tapachula",11,6,2019,4.2
